Kode,Kategori,Uraian,Volume,Satuan,Harga,Jumlah,Basis,Status,Sumber,Pemasok,Spesifikasi,Dasar harga
M11,Material,Baut M12 kelas8.8 panjang40 / tangga,488,bh,4500,2196000,"232 titik x2 baut +5% cadangan; grip2pelat6mm, verifikasi panjang.",Usulan spesifikasi / harga estimasi,https://www.sentralmurbaut.com/product-detail?name=hexagonal-bolts-nuts,Sentral Mur Baut Surabaya,"Baja karbon; lapis seng untuk pengadaan indoor. Baut kelas8.8, mur kelas8 dan ring keras kompatibel; panjang/grip, sertifikat dan detail joint harus dicocokkan.",Estimasi anggaran per bh; bukan harga penawaran pemasok. Ditinjau 09.09.2026.
M12,Material,Mur M12 kelas8 / tangga,488,bh,1500,732000,Satu mur per baut; sudah terpisah dari harga batang baut.,Usulan spesifikasi / harga estimasi,https://www.sentralmurbaut.com/product-detail?name=hexagonal-bolts-nuts,Sentral Mur Baut Surabaya,"Baja karbon; lapis seng untuk pengadaan indoor. Baut kelas8.8, mur kelas8 dan ring keras kompatibel; panjang/grip, sertifikat dan detail joint harus dicocokkan.",Estimasi anggaran per bh; bukan harga penawaran pemasok. Ditinjau 09.09.2026.
M13,Material,Ring datar keras M12 / tangga,976,bh,750,732000,Dua ring per baut.,Usulan spesifikasi / harga estimasi,https://www.sentralmurbaut.com/product-detail?name=hexagonal-bolts-nuts,Sentral Mur Baut Surabaya,"Baja karbon; lapis seng untuk pengadaan indoor. Baut kelas8.8, mur kelas8 dan ring keras kompatibel; panjang/grip, sertifikat dan detail joint harus dicocokkan.",Estimasi anggaran per bh; bukan harga penawaran pemasok. Ditinjau 09.09.2026.
M14B,Material,Baut hex M12 x40 kelas 8.8 / rangka dan X,693,bh,4500,3118500,165framing termasuk20diagonal;2ujung x2baut +5%cadangan. Menggantikan komponen baut paket M14; bagian yang dilas dikurangi setelah joint ditetapkan.,Usulan spesifikasi / harga estimasi,https://www.sentralmurbaut.com/product-detail?name=hexagonal-bolts-nuts,Sentral Mur Baut Surabaya,"Baja karbon; lapis seng untuk pengadaan indoor. Baut kelas8.8, mur kelas8 dan ring keras kompatibel; panjang/grip, sertifikat dan detail joint harus dicocokkan.",Estimasi anggaran per bh; bukan harga penawaran pemasok. Ditinjau 09.09.2026.
M14N,Material,Mur hex M12 kelas 8 / rangka dan X,693,bh,1500,1039500,Satu mur per baut M14B; bukan tambahan terhadap paket M14 lama.,Usulan spesifikasi / harga estimasi,https://www.sentralmurbaut.com/product-detail?name=hexagonal-bolts-nuts,Sentral Mur Baut Surabaya,"Baja karbon; lapis seng untuk pengadaan indoor. Baut kelas8.8, mur kelas8 dan ring keras kompatibel; panjang/grip, sertifikat dan detail joint harus dicocokkan.",Estimasi anggaran per bh; bukan harga penawaran pemasok. Ditinjau 09.09.2026.
M14W,Material,Ring datar keras M12 / rangka dan X,1386,bh,750,1039500,Dua ring per baut M14B; paket M14 lama dihapus agar tidak dihitung ganda.,Usulan spesifikasi / harga estimasi,https://www.sentralmurbaut.com/product-detail?name=hexagonal-bolts-nuts,Sentral Mur Baut Surabaya,"Baja karbon; lapis seng untuk pengadaan indoor. Baut kelas8.8, mur kelas8 dan ring keras kompatibel; panjang/grip, sertifikat dan detail joint harus dicocokkan.",Estimasi anggaran per bh; bukan harga penawaran pemasok. Ditinjau 09.09.2026.
M15,Material,Sekrup drilling wood ke baja #12 x65 + ring / usulan,500,set,1500,750000,"Papan40mm ke RHS2,3mm;500set allowance. Tipe wood-to-steel, kapasitas bor dan panjang ulir harus sesuai katalog produsen; ukuran65mm adalah usulan pengadaan, bukan stok terkonfirmasi.",Usulan spesifikasi / harga estimasi,https://www.ptjayametal.com/,PT Jaya Metal Surabaya,"Baja karbon dikeraskan, lapis antikarat; mutu dan kapasitas mengikuti datasheet SDS produsen. Bukan pengganti baut struktural. Jenis produk pemasok tersedia; ukuran dan kapasitas pilihan belum terverifikasi.",Estimasi anggaran per set; bukan harga penawaran pemasok. Ditinjau 09.09.2026.
M16,Material,Sekrup SDS hex #12 x32 + ring EPDM / usulan,2449,set,800,1959200,"234panel vertikal, kisi perimeter<=300mm, inset15mm: 2332titik +5%cadangan. Return dan potongan kecil dilas. Panel2mm + RHS2,3mm: minta kapasitas bor minimal4,3mm dan data pull-out. Ukuran32mm usulan, stok belum dikonfirmasi.",Usulan spesifikasi / harga estimasi,https://www.ptjayametal.com/,PT Jaya Metal Surabaya,"Baja karbon dikeraskan, lapis antikarat; mutu dan kapasitas mengikuti datasheet SDS produsen. Bukan pengganti baut struktural. Jenis produk pemasok tersedia; ukuran dan kapasitas pilihan belum terverifikasi.",Estimasi anggaran per set; bukan harga penawaran pemasok. Ditinjau 09.09.2026.
M17,Material,Ikatan ke kolom beton / provisional sum,1,ls,5000000,5000000,"Cadangan desain, pelat, angkur dan pemasangan16titik; jumlah/diameter/kapasitas belum dipilih. Tidak ke pelat lantai.",Allowance anggaran,,,,
M18,Material,Cat alkyd 2-in-1 hitam / 2 lapis,157.5,L,130000,20475000,"626.06 m2 x2lapis /10m2/L x1,25loss, bulat2,5L. Menggantikan primer+finish terpisah.",Konsumsi produsen / harga allowance,https://www.nipponpaint-indonesia.com/products/kayu-besi/decorative/bodelac-2-in-1-anti-karat,,,
M19,Material,Thinner kompatibel + pembersih,16,L,35000,560000,Allowance10%volume cat; pengenceran akhir mengikuti TDS produk.,Allowance anggaran,https://www.tokocatsurabaya.com/,,,
M20,Material,Sistem antiselip permukaan tangga,15,m2,125000,1875000,"Sistem agregat antiselip di atas pelat polos; material dan pemasangan spesialis termasuk, pola nosing kontras.",Allowance anggaran,,,,
M21,Material,Clear coat kayu,19,L,100000,1900000,"Dua sisi bidang utama,2lapis,10m2/L,25%loss; belum mengurangi bidang tertutup.",Allowance anggaran,,,,
M22,Material,Backing penutup dan hardware railing / provisional sum,1,ls,3500000,3500000,"Cadangan material backing/tab penutup, kupingan railing dan penyambung rel yang belum terukur. Di luar SDS M16 dan sekrup kayu M15. Berat belum masuk dasar jasa; sesuaikan saat detail dirilis.",Allowance anggaran,,,,
C01,Bahan habis pakai,Elektroda / kawat las kompatibel,15,kg,35000,525000,"Panjang las budget233.2m; kaki3mm, efisiensi0,65, starts15%, bulat5kg. WPS memilih proses.",Allowance anggaran,,,,
C02,Bahan habis pakai,Cakram potong,38,bh,18000,684000,Produktivitas budget15potong/cakram.,Allowance anggaran,,,,
C03,Bahan habis pakai,Flap disc + sikat kawat,53,set,28000,1484000,"Satu set/12m2 permukaan, allowance persiapan.",Allowance anggaran,,,,
C04,Bahan habis pakai,Mata bor + pelumas,7,set,150000,1050000,"150lubang/set budget, 4lubang/titik pada2pelat.",Allowance anggaran,,,,
C05,Bahan habis pakai,"Kuas, roller, masking dan kain",1,ls,850000,850000,Satu paket pekerjaan coating.,Allowance anggaran,,,,
C06,Bahan habis pakai,Listrik bengkel,500,kWh,2000,1000000,"Allowance500kWh; termasuk las, gerinda, bor. Tarifbudget.",Allowance anggaran,,,,
C07,Bahan habis pakai,Gas / bahan bantu pemotongan pelat,1,ls,750000,750000,"Biaya mesin/laser diletakkan pada upah proses, gas allowance terpisah.",Allowance anggaran,,,,
U01,Upah,Fabrikasi + pemasangan baja,9662.154,kg,6000,57972924,"Kesepakatan Bam: berat pembelian stok termasuk sisa; upah potong, las, bor dan ereksi. Consumables terpisah.",Allowance anggaran,,,,
U02,Upah,Jasa press brake,112,tekuk,20000,2240000,"112tekukan; mesin bengkel vendor, di luar tarif las/ereksi.",Allowance anggaran,,,,
U03,Upah,Persiapan permukaan + aplikasi cat baja,626.0562,m2,25000,15651405,Upah coating terpisah dari tarif fabrikasi.,Allowance anggaran,,,,
U04,Upah,Pemasangan + finishing kayu,1,ls,3500000,3500000,Anggaran tukang kayu; bahan clear coat sudah M21.,Allowance anggaran,,,,
L01,Peralatan dan logistik,Angkut bengkel-lokasi + bongkar,2,rit,1500000,3000000,Bukan ongkir toko-bengkel; ukuran truk/jam akses diverifikasi.,Allowance anggaran,,,,
L02,Peralatan dan logistik,Hoist dan alat angkat LT4,7,hari,500000,3500000,"Allowance 7hari, kapasitas/jalur angkat ditentukan metode kerja.",Allowance anggaran,,,,
L03,Peralatan dan logistik,Perancah dan penyangga sementara,1,ls,2500000,2500000,"Sewa, pengiriman dan pembongkaran.",Allowance anggaran,,,,
L04,Peralatan dan logistik,Pengukuran + kontrol mutu las/cat,1,ls,2000000,2000000,"Allowance ukur, inspeksi visual, DFT dan dokumentasi. Tidak termasuk uji beton laboratorium.",Allowance anggaran,,,,
L05,Peralatan dan logistik,"Pembersihan, APD dan proteksi",1,ls,1500000,1500000,"Area LT4, alat keselamatan kerja dan serah terima.",Allowance anggaran,,,,
L06,Peralatan dan logistik,Verifikasi desain + investigasi tumpuan,1,ls,7500000,7500000,Provisional sum pemeriksaan insinyur dan pengumpulan data beton; lingkup lab mengikuti temuan.,Allowance anggaran,,,,
