id,name,unit,excel_qty,excel_unit,net_qty,purchase_qty,verification,basis
X12,Penutup kedua sisi,kg,104,Kg,255.28058333,303.52666804,Geometri dan pola potong arsip; bukan pembacaan ulang semua pelat native,"Luas 16.259910 m²; bagian dari total 26 lembar penutup. Belakang dan bawah terbuka. Stok tepat 1200×2400 mm, t=2 mm; 26 lembar bersama = 1175.616 kg teoritis (7850 kg/m³). Bukan berat timbang; bukan lembar 4×8 kaki."
X13,Base plate,kg,187,Kg,113.04,180.864,Jumlah/luas/volume model dibaca ulang; stok atau allowance dihitung terpisah,"80 dudukan; satu stok 1200×2400×8 mm = 180,864 kg teoritis; sisa stok termasuk sekali. Stok tepat 1200×2400 mm, t=8 mm; 1 lembar bersama = 180.864 kg teoritis (7850 kg/m³). Bukan berat timbang; bukan lembar 4×8 kaki."
X14,"Pelat sambungan rangka, tangga dan buhul",kg,700,kg,590.14416,678.24,"Usulan atau allowance; aritmetika diperiksa, kebutuhan final belum ditetapkan","5 lembar 1200×2400×6 mm = 678,24 kg teoritis. Potongan tetap: 232 pasangan kupingan tangga + 274 pasangan rangka 90×120 mm + 40 buhul 200×200 mm. Pola potong 1052 bagian, tepi 10 mm dan celah potong 3 mm sudah diperiksa. Tarif/kg dari Excel. Stok tepat 1200×2400 mm, t=6 mm; 5 lembar bersama = 678.240 kg teoritis (7850 kg/m³). Bukan berat timbang; bukan lembar 4×8 kaki."
X15,Baut rangka dan X,bh,693,bh,660.0,693.0,"Usulan atau allowance; aritmetika diperiksa, kebutuhan final belum ditetapkan","165 framing termasuk 20 diagonal;2 ujung x 2 baut +5%cadangan. Menggantikan komponen baut paket M14; bagian yang dilas dikurangi setelah joint ditetapkan. Baut, mur dan ring adalah komponen terpisah."
X17,Mur rangka dan X,bh,693,bh,660.0,693.0,"Usulan atau allowance; aritmetika diperiksa, kebutuhan final belum ditetapkan","Satu mur per baut M14 B; bukan tambahan terhadap paket M14 lama. Baut, mur dan ring adalah komponen terpisah."
X18,Ring rangka dan X,bh,1386,bh,1320.0,1386.0,"Usulan atau allowance; aritmetika diperiksa, kebutuhan final belum ditetapkan","Dua ring per baut M14 B; paket M14 lama dihapus agar tidak dihitung ganda. Baut, mur dan ring adalah komponen terpisah."
B04,Baut tangga,bh,,,464.0,488.0,"Usulan atau allowance; aritmetika diperiksa, kebutuhan final belum ditetapkan","232 titik x 2 baut +5% cadangan; grip 2 pelat 6 mm, verifikasi panjang. Baut, mur dan ring adalah komponen terpisah."
B05,Mur tangga,bh,,,464.0,488.0,"Usulan atau allowance; aritmetika diperiksa, kebutuhan final belum ditetapkan","Satu mur per baut; sudah terpisah dari harga batang baut. Baut, mur dan ring adalah komponen terpisah."
B06,Ring tangga,bh,,,928.0,976.0,"Usulan atau allowance; aritmetika diperiksa, kebutuhan final belum ditetapkan","Dua ring per baut. Baut, mur dan ring adalah komponen terpisah."
X16,Ikatan ke kolom beton / cadangan,ls,32,bh,1.0,1.0,"Usulan atau allowance; aritmetika diperiksa, kebutuhan final belum ditetapkan","Mengganti hitungan 32 dynaboltM10 yang belum terverifikasi. Anggaran R04 untuk 16 titik termasuk desain, pelat, angkur dan pemasangan; bukan jumlah angkur final."
X19,Sekrup kayu ke baja + ring,set,500,bh,500.0,500.0,"Usulan atau allowance; aritmetika diperiksa, kebutuhan final belum ditetapkan","Papan 40 mm ke RHS2,3 mm;500 set allowance. Tipe wood-to-steel, kapasitas bor dan panjang ulir harus sesuai katalog produsen; ukuran 65 mm adalah usulan pengadaan, bukan stok terkonfirmasi."
X20,Sekrup penutup + ring EPDM,set,2449,bh,2332.0,2449.0,"Usulan atau allowance; aritmetika diperiksa, kebutuhan final belum ditetapkan","234 panel vertikal, kisi perimeter<=300 mm, inset 15 mm: 2332 titik +5%cadangan. Return dan potongan kecil dilas. Panel 2 mm + RHS2,3 mm: minta kapasitas bor minimal 4,3 mm dan data pull-out. Ukuran 32 mm usulan, stok belum dikonfirmasi."
X21,Karet dudukan,bh,100,bh,80.0,80.0,Jumlah/luas/volume model dibaca ulang; stok atau allowance dihitung terpisah,80 dudukan aktif; satu karet per base plate.
X22,Papan pinus dudukan,m,200,m1,74.81351575,82.29486733,Jumlah/luas/volume model dibaca ulang; stok atau allowance dihitung terpisah,"Volume 15 floor=1.197016252 m³ ÷(0,4×0,04); pembelian+10%. Bukan 200 m tanpa dasar geometri."
X23,Panel kayu sandaran,m,20,m1,18.225,20.0475,"Usulan atau allowance; aritmetika diperiksa, kebutuhan final belum ditetapkan","Luas 7,29 m² dari geometri arsip, bukan hasil ukur Revit baru. Pembelian+10%. Koreksi label 400×40 cm menjadi lebar 400 mm/tebal 40 mm."
X24,Cat dan coating baja,m²,8253,kg,626.05615443,626.05615443,"Usulan atau allowance; aritmetika diperiksa, kebutuhan final belum ditetapkan","Estimasi permukaan 626.0562 m²; nilai paket cat Excel Rp 28,885,500 dibagi luas. Penipisan hollow tidak mengurangi luas cat. Tarif ini normalisasi paket Excel, bukan harga/m² pemasok."
E01,Backing penutup dan hardware railing,ls,,,1.0,1.0,"Usulan atau allowance; aritmetika diperiksa, kebutuhan final belum ditetapkan","Cadangan material backing/tab penutup, kupingan railing dan penyambung rel yang belum terukur. Di luar SDS M16 dan sekrup kayu M15. Berat belum masuk dasar jasa; sesuaikan saat detail dirilis."
E02,Sistem antiselip tangga,m2,,,15.0,15.0,"Usulan atau allowance; aritmetika diperiksa, kebutuhan final belum ditetapkan","Sistem agregat antiselip di atas pelat polos; material dan pemasangan spesialis termasuk, pola nosing kontras."
E03,Clear coat kayu,L,,,19.0,19.0,"Usulan atau allowance; aritmetika diperiksa, kebutuhan final belum ditetapkan","Dua sisi bidang utama,2 lapis,10 m 2/L,25%loss; belum mengurangi bidang tertutup."
E04,Jasa tekuk pelat,tekuk,,,112.0,112.0,"Usulan atau allowance; aritmetika diperiksa, kebutuhan final belum ditetapkan","112 tekukan; mesin bengkel vendor, di luar tarif las/ereksi."
EL01,Angkut bengkel-lokasi + bongkar,rit,,,2.0,2.0,"Usulan atau allowance; aritmetika diperiksa, kebutuhan final belum ditetapkan",Bukan ongkir toko-bengkel; ukuran truk/jam akses diverifikasi.
EL02,Hoist dan alat angkat LT4,hari,,,7.0,7.0,"Usulan atau allowance; aritmetika diperiksa, kebutuhan final belum ditetapkan","Allowance 7 hari, kapasitas/jalur angkat ditentukan metode kerja."
EL03,Perancah dan penyangga sementara,ls,,,1.0,1.0,"Usulan atau allowance; aritmetika diperiksa, kebutuhan final belum ditetapkan","Sewa, pengiriman dan pembongkaran."
EL04,Pengukuran + kontrol mutu las/cat,ls,,,1.0,1.0,"Usulan atau allowance; aritmetika diperiksa, kebutuhan final belum ditetapkan","Allowance ukur, inspeksi visual, DFT dan dokumentasi. Tidak termasuk uji beton laboratorium."
EL05,"Pembersihan, APD dan proteksi",ls,,,1.0,1.0,"Usulan atau allowance; aritmetika diperiksa, kebutuhan final belum ditetapkan","Area LT4, alat keselamatan kerja dan serah terima."
EL06,Verifikasi desain + investigasi tumpuan,ls,,,1.0,1.0,"Usulan atau allowance; aritmetika diperiksa, kebutuhan final belum ditetapkan",Provisional sum pemeriksaan insinyur dan pengumpulan data beton; lingkup lab mengikuti temuan.
